run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14436592	SAMN19026082	SRX10787708	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/092/SRR14436592/SRR14436592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/092/SRR14436592/SRR14436592_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/092/SRR14436592	
SRR14436594	SAMN19026082	SRX10787708	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/094/SRR14436594/SRR14436594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/094/SRR14436594/SRR14436594_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/094/SRR14436594	
SRR14436597	SAMN19026079	SRX10787710	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/097/SRR14436597/SRR14436597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/097/SRR14436597/SRR14436597_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/097/SRR14436597	
SRR14436593	SAMN19026082	SRX10787708	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/093/SRR14436593/SRR14436593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/093/SRR14436593/SRR14436593_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/093/SRR14436593	
SRR14436589	SAMN19026083	SRX10787707	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/089/SRR14436589/SRR14436589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/089/SRR14436589/SRR14436589_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/089/SRR14436589	
SRR14436598	SAMN19026079	SRX10787710	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/098/SRR14436598/SRR14436598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/098/SRR14436598/SRR14436598_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/098/SRR14436598	
SRR14436590	SAMN19026083	SRX10787707	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/090/SRR14436590/SRR14436590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/090/SRR14436590/SRR14436590_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/090/SRR14436590	
SRR14436604	SAMN19026074	SRX10787713	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/004/SRR14436604/SRR14436604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/004/SRR14436604/SRR14436604_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/004/SRR14436604	
SRR14436591	SAMN19026082	SRX10787708	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/091/SRR14436591/SRR14436591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/091/SRR14436591/SRR14436591_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/091/SRR14436591	
SRR14436599	SAMN19026077	SRX10787711	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/099/SRR14436599/SRR14436599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/099/SRR14436599/SRR14436599_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/099/SRR14436599	
